@RUN EXCODE      TRNO RN CR EDAPS EDAPM B1DAPS B1DAPM B2DAPS B2DAPM B3DAPS B3DAPM B4DAPS B4DAPM B5DAPS B5DAPM B6DAPS B6DAPM B7DAPS B7DAPM B8DAPS B8DAPM B9DAPS B9DAPM B10DPS B10DPM B11DPS B11DPM B12DPS B12DPM B13DPS B13DPM B14DPS B14DPM B15DPS B15DPM B16DPS B16DPM   HWAMS   HWAMM   FWAMS   FWAMM LAIXS LAIXM L#SMS L#SMM BR#SS BR#SM CWAMS CWAMM VWAMS VWAMM HIAMS HIAMM HN%MS HN%MM VN%MS VN%MM CNAMS CNAMM HNAMS HNAMM HINMS HINMM
  14 UYON1801CS     5  0 CS     8   -99    137    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    7910    6076   29225     -99   1.4   3.0 198.3 -99.0   2.7 -99.0  5281  3993  5281  3993 0.614 0.603   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  15 UYON1901CS     5  0 CS     8   -99    137    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    7910     -99   29225     -99   1.4   3.0 198.3 -99.0   2.7 -99.0  5281  1906  5281  1906 0.614   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  16 UYOT1801CS     5  0 CS     8   -99    137    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    7910   11804   29225     -99   1.4   3.0 198.3 -99.0   2.7 -99.0  5281  8990  5281  8990 0.614 0.568   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  17 UYUB1901CS     5  0 CS     8   -99    137    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    7910    7827   29225     -99   1.4   3.0 198.3 -99.0   2.7 -99.0  5281  4651  5281  4651 0.614 0.627   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  18 UYUM1801CS     5  0 CS     8   -99    137    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    7910   10559   29225     -99   1.4   3.0 198.3 -99.0   2.7 -99.0  5281  5867  5281  5867 0.614 0.643   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  19 UYZA1901CS     5  0 CS     8   -99    137    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    7910    5084   29225     -99   1.4   3.0 198.3 -99.0   2.7 -99.0  5281  4651  5281  4651 0.614 0.522   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   1 UYAB1901CS     5  0 CS     8   -99     70    -99    140    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   10179    8916   37424     -99   2.1   3.0 195.8 -99.0   7.3 -99.0  8052  4370  8052  4370 0.572 0.671   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   2 UYAG1701CS     5  0 CS     8   -99     70    -99    140    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   10179   10763   37424     -99   2.1   3.0 195.8 -99.0   7.3 -99.0  8052 10451  8052 10451 0.572 0.507   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   3 UYAG1801CS     5  0 CS     8   -99     70    -99    140    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   10179    8603   37424     -99   2.1   3.0 195.8 -99.0   7.3 -99.0  8052  8941  8052  8941 0.572 0.490   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   4 UYAG1901CS     5  0 CS     8   -99     70    -99    140    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   10179   12410   37424     -99   2.1   3.0 195.8 -99.0   7.3 -99.0  8052 14292  8052 14292 0.572 0.465   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
