@RUN EXCODE      TRNO RN CR EDAPS EDAPM B1DAPS B1DAPM B2DAPS B2DAPM B3DAPS B3DAPM B4DAPS B4DAPM B5DAPS B5DAPM B6DAPS B6DAPM B7DAPS B7DAPM B8DAPS B8DAPM B9DAPS B9DAPM B10DPS B10DPM B11DPS B11DPM B12DPS B12DPM B13DPS B13DPM B14DPS B14DPM B15DPS B15DPM B16DPS B16DPM   HWAMS   HWAMM   FWAMS   FWAMM LAIXS LAIXM L#SMS L#SMM BR#SS BR#SM CWAMS CWAMM VWAMS VWAMM HIAMS HIAMM HN%MS HN%MM VN%MS VN%MM CNAMS CNAMM HNAMS HNAMM HINMS HINMM
   1 UYAB1901CS     1  0 CS     8   -99    -99     87    -99    128    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   15199   12507   53424     -99   3.1   5.0 405.2 -99.0   1.0 -99.0  9988  4729  9988  4729 0.624 0.726   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   2 UYAG1701CS     1  0 CS     8   -99    -99     87    -99    128    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   13931   12289   47832     -99   2.4   5.0 329.9 -99.0   1.0 -99.0  9157 10122  9157 10122 0.620 0.548   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   3 UYAG1801CS     1  0 CS     8   -99    -99     87    -99    128    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   21194   10693   73318     -99   3.1   5.0 389.5 -99.0   1.0 -99.0 10190 11823 10190 11823 0.706 0.475   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   4 UYAG1901CS     1  0 CS     8   -99    -99     87    -99    128    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   22252   18991   77499     -99   3.1   5.0 394.2 -99.0   1.0 -99.0 10294  9734 10294  9734 0.716 0.661   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   5 UYIB1701CS     1  0 CS     8   -99    -99     86    -99    127    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   17422   15661   58973     -99   2.0   5.0 372.9 -99.0   1.0 -99.0  9895  6194  9895  6194 0.662 0.717   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   6 UYIB1801CS     1  0 CS     8   -99    -99     35    -99     76    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   17884   19598   60886     -99   2.5   5.0 368.4 -99.0   1.0 -99.0 10170  6726 10170  6726 0.662 0.744   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   7 UYIB1901CS     1  0 CS     8   -99    -99     86    -99    127    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   20970   10594   73260     -99   3.1   5.0 354.4 -99.0   1.0 -99.0  9707  6203  9707  6203 0.715 0.631   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   8 UYIB2001CS     1  0 CS     8   -99    -99    418    -99    459    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   15199   14954   53424     -99   3.1   5.0 405.2 -99.0   1.0 -99.0  9988 14146  9988 14146 0.624 0.514   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
   9 UYIK1701CS     1  0 CS     9   -99    -99     87    -99    128    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   20142   13302   68663     -99   2.5   5.0 388.8 -99.0   1.0 -99.0 10390  7812 10390  7812 0.688 0.630   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  10 UYIK1801CS     1  0 CS     8   -99    -99     87    -99    128    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   22372    8592   77308     -99   3.1   5.0 400.3 -99.0   1.0 -99.0 10293  7049 10293  7049 0.718 0.549   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  11 UYIK1901CS     1  0 CS     8   -99    -99     87    -99    128    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99   23516   17732   81612     -99   3.0   5.0 419.4 -99.0   1.0 -99.0 10521 14635 10521 14635 0.726 0.548   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  12 UYKA1801CS     1  0 CS     8   -99    -99     87    -99    128    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    3463    4143   18743     -99   2.7   5.0 311.5 -99.0   1.0 -99.0  8031  5955  8031  5955 0.291 0.410   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  13 UYMO1701CS     1  0 CS     8   -99    -99     87    -99    128    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    7989   16797   29101     -99   1.4   5.0 385.1 -99.0   1.0 -99.0  8216  9049  8216  9049 0.496 0.650   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
  14 UYMO1801CS     1  0 CS     8   -99    -99     87    -99    128    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    -99    9432   10789   36481     -99   3.0   5.0 363.6 -99.0   1.0 -99.0  8902 12240  8902 12240 0.521 0.468   -99   -99   -99   -99   -99   -99   -99   -99   -99   -99
