"Treatment" "HWAM" "CWAM" "LAIX"
"1" "0.324014496325374" "7.4473661515528e-15" "3312.99555215285"
"2" "0.160761564690472" "0.419037377581044" "3312.99555215285"
"3" "0.370808494754086" "0.104371660246104" "3312.99555215285"
"4" "0.0965642355771659" "0.913101822029696" "3312.99555215285"
"5" "0.286981430804464" "0.0195433526218092" "3312.99555215285"
"6" "0.406726963297091" "0.0364991538388663" "3312.99555215285"
"7" "0.270945075098894" "0.00300343088498644" "3312.99555215285"
"8" "1.48495599136115" "0.00028296839080687" "3312.99555215285"
"9" "0.063296867446565" "0.83852901017799" "3312.99555215285"
"10" "1.42103725479829" "0.00569559885568156" "3312.99555215285"
"11" "0.0416000793786115" "0.698463599139771" "3312.99555215285"
"12" "0.368376559452847" "0.0316247939324126" "3312.99555215285"
"13" "1.33170439531872" "0.000694230090190441" "3312.99555215285"
"14" "1.31931084000553" "5.93390917851467e-19" "3312.99555215285"
"15" "1" "6.40315928302336e-116" "3312.99555215285"
"16" "0.115226104820155" "0.111370448025287" "3312.99555215285"
"17" "0.529687731853088" "1.6689512708932e-12" "3312.99555215285"
"18" "0.172430879550498" "2.23301189745131e-06" "3312.99555215285"
"19" "2.24596793798779" "1.6689512708932e-12" "3312.99555215285"
"1" "0.127953424259258" "0.00280924358357249" "1218.78295232946"
"2" "0.0680451125656948" "1.18542155355466" "1218.78295232946"
"3" "0.144988013711416" "1.47610061092491" "1218.78295232946"
"4" "0.0435762465006039" "0.468714577989635" "1218.78295232946"
"5" "0.114468977021368" "1.4415018881087" "1218.78295232946"
"6" "0.15808312000332" "1.48370851983899" "1218.78295232946"
"7" "0.108622228720106" "1.21124747434864" "1218.78295232946"
"8" "0.597129619463517" "0.865597630062645" "1218.78295232946"
"9" "0.0302941813967958" "0.331404352677168" "1218.78295232946"
"10" "0.567320672129143" "1.30075438583395" "1218.78295232946"
"11" "0.0211827351243247" "0.903243456435745" "1218.78295232946"
"12" "0.144102227754196" "1.47643972040124" "1218.78295232946"
"13" "0.526698672163891" "0.994717248518199" "1218.78295232946"
"14" "0.521154084922625" "0.000202750391673405" "1218.78295232946"
"15" "1" "6.57720812299247e-36" "1218.78295232946"
"16" "0.0508054021268506" "1.4712005294636" "1218.78295232946"
"17" "0.203225429729967" "0.0119001163511297" "1218.78295232946"
"18" "0.0723993578359544" "0.34928559555662" "1218.78295232946"
"19" "1.01739452884727" "0.0119001163511297" "1218.78295232946"
"1" "0.28819704310684" "0.000150921739742478" "1366.75062229995"
"2" "0.801732402254374" "1.26857401704753" "1366.75062229995"
"3" "0.208999873603256" "1.33054408942968" "1366.75062229995"
"4" "1.00279167558751" "0.5909969423938" "1366.75062229995"
"5" "0.370194328270715" "1.08233304043512" "1366.75062229995"
"6" "0.162993000586865" "1.19059151856662" "1366.75062229995"
"7" "0.411882610949685" "0.750548784465971" "1366.75062229995"
"8" "9.2629876573821e-05" "0.425069653764972" "1366.75062229995"
"9" "0.945154445067728" "0.426298805208386" "1366.75062229995"
"10" "0.000145980172685572" "0.859828929019539" "1366.75062229995"
"11" "0.748864778927026" "1.04622120542321" "1366.75062229995"
"12" "0.212537877941432" "1.16665712029407" "1366.75062229995"
"13" "0.000273936716337141" "0.533101061571498" "1366.75062229995"
"14" "0.000298781609466217" "4.77774692205608e-06" "1366.75062229995"
"15" "1" "1.2005052895244e-45" "1366.75062229995"
"16" "0.966277225325038" "1.33602233101437" "1366.75062229995"
"17" "0.0693502145018849" "0.00103083775717568" "1366.75062229995"
"18" "0.754392378124741" "0.108421114814505" "1366.75062229995"
"19" "2.40629620233684e-07" "0.00103083775717568" "1366.75062229995"
"1" "0.675049367077167" "7.83940856614812e-22" "1218.78295232946"
"2" "1.10578677808023" "0.10592574630006" "1218.78295232946"
"3" "0.559013653949586" "0.00980126814080988" "1218.78295232946"
"4" "1.07094781817017" "0.710379791871782" "1218.78295232946"
"5" "0.776917057365226" "0.000682645548248303" "1218.78295232946"
"6" "0.480824838168258" "0.00181735024273758" "1218.78295232946"
"7" "0.822996120575086" "3.8572369653299e-05" "1218.78295232946"
"8" "0.00287196115966378" "1.11798494050047e-06" "1218.78295232946"
"9" "0.868319502223288" "0.791536024357015" "1218.78295232946"
"10" "0.00397755544483936" "0.000102096592041695" "1218.78295232946"
"11" "0.619141345759676" "0.290934348867342" "1218.78295232946"
"12" "0.564653864349283" "0.00144985068422408" "1218.78295232946"
"13" "0.00623195607159842" "4.25773856405398e-06" "1218.78295232946"
"14" "0.00662906376540594" "1.41687460304151e-27" "1218.78295232946"
"15" "1" "3.46446824847064e-160" "1218.78295232946"
"16" "1.11627179202213" "0.010899819968163" "1218.78295232946"
"17" "0.280436083952233" "1.6132527760716e-18" "1218.78295232946"
"18" "1.08585582699724" "9.20790979334071e-10" "1218.78295232946"
"19" "3.78853067072931e-05" "1.6132527760716e-18" "1218.78295232946"
"1" "1.23278748321946" "0.00682742574093866" "3278.6643008495"
"2" "1.23326199123141" "1.134477245867" "3278.6643008495"
"3" "1.15715802489251" "1.48730755706164" "3278.6643008495"
"4" "0.947990284054861" "0.428044722367235" "3278.6643008495"
"5" "1.27958095460223" "1.53565437743294" "3278.6643008495"
"6" "1.09209795840023" "1.54880488349777" "3278.6643008495"
"7" "1.2944970740156" "1.36885610605058" "3278.6643008495"
"8" "0.0631406767924468" "1.05121465982409" "3278.6643008495"
"9" "0.674197971304861" "0.301153185284588" "3278.6643008495"
"10" "0.0771019281124324" "1.44101588935431" "3278.6643008495"
"11" "0.440683861396641" "0.844620052574466" "3278.6643008495"
"12" "1.16139575486035" "1.54848308425308" "3278.6643008495"
"13" "0.101340686869468" "1.17573284886049" "3278.6643008495"
"14" "0.105203085170261" "0.000639194621910563" "3278.6643008495"
"15" "1" "7.93016083773327e-33" "3278.6643008495"
"16" "1.05989501205221" "1.47903665057692" "3278.6643008495"
"17" "0.860029331188696" "0.024879436209474" "3278.6643008495"
"18" "1.25940274696133" "0.489295278141893" "3278.6643008495"
"19" "0.00408566845849792" "0.024879436209474" "3278.6643008495"
"1" "0.00580922023315136" "7.67802027548375e-10" "1366.75062229995"
"2" "0.00480615358950228" "0.893830116667041" "1366.75062229995"
"3" "0.00602221204032478" "0.450666262475898" "1366.75062229995"
"4" "0.00416487890810051" "0.894367300775407" "1366.75062229995"
"5" "0.00562366810301122" "0.172078905819735" "1366.75062229995"
"6" "0.00617260648760904" "0.248760052814817" "1366.75062229995"
"7" "0.00553765198379375" "0.0546609449417162" "1366.75062229995"
"8" "0.0088717107865878" "0.0121702522681341" "1366.75062229995"
"9" "0.00367905531896766" "0.722708408637054" "1366.75062229995"
"10" "0.00875090748132548" "0.0813413692229721" "1366.75062229995"
"11" "0.00323217435431769" "1.04954971086627" "1366.75062229995"
"12" "0.00601164909258952" "0.228773816349144" "1366.75062229995"
"13" "0.00857860905421711" "0.0216534743830444" "1366.75062229995"
"14" "0.00855434393200644" "1.02439045531547e-12" "1366.75062229995"
"15" "1" "6.76074702795932e-83" "1366.75062229995"
"16" "0.00437990483976059" "0.466846134965141" "1366.75062229995"
"17" "0.00662436191724855" "3.31488367016157e-08" "1366.75062229995"
"18" "0.00489959449749424" "0.000504088692381183" "1366.75062229995"
"19" "0.0102453713782976" "3.31488367016157e-08" "1366.75062229995"
"1" "0.980812779458059" "1.30625316415247e-08" "2184.06127565251"
"2" "1.21424790484083" "1.02603597415887" "2184.06127565251"
"3" "0.871863152066151" "0.614313129282407" "2184.06127565251"
"4" "1.03017016319962" "0.853300631874916" "2184.06127565251"
"5" "1.06469566327827" "0.279522913862838" "2184.06127565251"
